state,county,persons,hud_med_inc,hud_inc_lim80
1,115,6,71000,65250
1,115,7,71000,69750
1,115,8,71000,74250
1,117,1,71000,39400
1,117,2,71000,45000
1,117,3,71000,50650
1,117,4,71000,56250
1,117,5,71000,60750
1,117,6,71000,65250
1,117,7,71000,69750
1,117,8,71000,74250
1,119,1,37500,27200
1,119,2,37500,31050
1,119,3,37500,34950
1,119,4,37500,38800
1,119,5,37500,41950
1,119,6,37500,45050
1,119,7,37500,48150
1,119,8,37500,51250
1,121,1,48400,27200
1,121,2,48400,31050
1,121,3,48400,34950
1,121,4,48400,38800
1,121,5,48400,41950
1,121,6,48400,45050
1,121,7,48400,48150
1,121,8,48400,51250
1,123,1,52100,29200
1,123,2,52100,33400
1,123,3,52100,37550
1,123,4,52100,41700
1,123,5,52100,45050
1,123,6,52100,48400
1,123,7,52100,51750
1,123,8,52100,55050
1,125,1,61500,34450
1,125,2,61500,39400
1,125,3,61500,44300
1,125,4,61500,49200
1,125,5,61500,53150
1,125,6,61500,57100
1,125,7,61500,61050
1,125,8,61500,64950
1,127,1,51700,28950
1,127,2,51700,33100
1,127,3,51700,37250
1,127,4,51700,41350
1,127,5,51700,44700
1,127,6,51700,48000
1,127,7,51700,51300
1,127,8,51700,54600
1,129,1,50600,28650
1,129,2,50600,32750
1,129,3,50600,36850
1,129,4,50600,40900
1,129,5,50600,44200
1,129,6,50600,47450
1,129,7,50600,50750
1,129,8,50600,54000
1,131,1,34500,27200
1,131,2,34500,31050
1,131,3,34500,34950
1,131,4,34500,38800
1,131,5,34500,41950
1,131,6,34500,45050
1,131,7,34500,48150
1,131,8,34500,51250
1,133,1,43700,27200
1,133,2,43700,31050
1,133,3,43700,34950
1,133,4,43700,38800
1,133,5,43700,41950
1,133,6,43700,45050
1,133,7,43700,48150
1,133,8,43700,51250
5,1,1,48800,27350
5,1,2,48800,31250
5,1,3,48800,35150
5,1,4,48800,39050
5,1,5,48800,42200
5,1,6,48800,45300
5,1,7,48800,48450
5,1,8,48800,51550
5,3,1,46300,27000
5,3,2,46300,30850
5,3,3,46300,34700
5,3,4,46300,38550
5,3,5,46300,41650
5,3,6,46300,44750
5,3,7,46300,47850
5,3,8,46300,50900
5,5,1,48700,27300
5,5,2,48700,31200
5,5,3,48700,35100
5,5,4,48700,38950
5,5,5,48700,42100
5,5,6,48700,45200
5,5,7,48700,48300
5,5,8,48700,51450
5,7,1,65400,36650
5,7,2,65400,41850
5,7,3,65400,47100
5,7,4,65400,52300
5,7,5,65400,56500
5,7,6,65400,60700
5,7,7,65400,64900
5,7,8,65400,69050
5,9,1,48800,27350
5,9,2,48800,31250
5,9,3,48800,35150
5,9,4,48800,39050
5,9,5,48800,42200
5,9,6,48800,45300
5,9,7,48800,48450
5,9,8,48800,51550
5,11,1,44100,27000
5,11,2,44100,30850
5,11,3,44100,34700
5,11,4,44100,38550
5,11,5,44100,41650
5,11,6,44100,44750
5,11,7,44100,47850
5,11,8,44100,50900
5,13,1,49200,27550
5,13,2,49200,31500
5,13,3,49200,35450
5,13,4,49200,39350
5,13,5,49200,42500
5,13,6,49200,45650
5,13,7,49200,48800
5,13,8,49200,51950
5,15,1,48000,27000
5,15,2,48000,30850
5,15,3,48000,34700
5,15,4,48000,38550
5,15,5,48000,41650
5,15,6,48000,44750
5,15,7,48000,47850
5,15,8,48000,50900
5,17,1,36500,27000
5,17,2,36500,30850
5,17,3,36500,34700
5,17,4,36500,38550
5,17,5,36500,41650
5,17,6,36500,44750
5,17,7,36500,47850
5,17,8,36500,50900
5,19,1,53500,30000
5,19,2,53500,34250
5,19,3,53500,38550
5,19,4,53500,42800
5,19,5,53500,46250
5,19,6,53500,49650
5,19,7,53500,53100
5,19,8,53500,56500
5,21,1,46000,27000
5,21,2,46000,30850
5,21,3,46000,34700
5,21,4,46000,38550
5,21,5,46000,41650
5,21,6,46000,44750
5,21,7,46000,47850
5,21,8,46000,50900
5,23,1,55100,30900
5,23,2,55100,35300
5,23,3,55100,39700
5,23,4,55100,44100
5,23,5,55100,47650
5,23,6,55100,51200
5,23,7,55100,54700
5,23,8,55100,58250
5,25,1,47900,27000
5,25,2,47900,30850
5,25,3,47900,34700
5,25,4,47900,38550
5,25,5,47900,41650
5,25,6,47900,44750
5,25,7,47900,47850
5,25,8,47900,50900
5,27,1,53700,30100
5,27,2,53700,34400
5,27,3,53700,38700
5,27,4,53700,42950
5,27,5,53700,46400
5,27,6,53700,49850
5,27,7,53700,53300
5,27,8,53700,56700
5,29,1,51700,28950
5,29,2,51700,33100
5,29,3,51700,37250
5,29,4,51700,41350
5,29,5,51700,44700
5,29,6,51700,48000
5,29,7,51700,51300
5,29,8,51700,54600
5,31,1,56200,31500
5,31,2,56200,36000
5,31,3,56200,40500
5,31,4,56200,44950
5,31,5,56200,48550
5,31,6,56200,52150
5,31,7,56200,55750
5,31,8,56200,59350
5,33,1,52900,29650
5,33,2,52900,33850
5,33,3,52900,38100
5,33,4,52900,42300
5,33,5,52900,45700
5,33,6,52900,49100
5,33,7,52900,52500
5,33,8,52900,55850
5,35,1,64200,35950
5,35,2,64200,41100
5,35,3,64200,46250
5,35,4,64200,51350
5,35,5,64200,55500
5,35,6,64200,59600
5,35,7,64200,63700
5,35,8,64200,67800
5,37,1,49200,27550
5,37,2,49200,31500
5,37,3,49200,35450
5,37,4,49200,39350
5,37,5,49200,42500
5,37,6,49200,45650
5,37,7,49200,48800
5,37,8,49200,51950
5,39,1,49100,27550
5,39,2,49100,31450
5,39,3,49100,35400
5,39,4,49100,39300
5,39,5,49100,42450
5,39,6,49100,45600
5,39,7,49100,48750
5,39,8,49100,51900
5,41,1,39200,27000
5,41,2,39200,30850
5,41,3,39200,34700
5,41,4,39200,38550
